league_type,match_time,match_duration,team1,score,team2,half_score
葡女联,02月09日05:30,第4节,纳塔考女篮,100,埃斯盖拉女篮,43
葡国联1A,02月09日05:45,第3节,盖亚,99,波瓦U23,66
巴西甲,02月09日06:00,第3节,皮塔高拉斯,103,摩日达斯克鲁济斯,94
巴西甲,02月09日06:00,第3节,皮涅鲁斯,88,巴乌鲁,74
奧女资格,02月08日16:30,完,波多黎各女篮,128,法国女篮,50
韩篮甲,02月08日18:00,完,大邱飞马,170,蔚山现代太阳神,82
韩篮甲,02月08日18:00,完,釜山宙斯盾,159,昌原LG猎隼,86
韩女甲,02月08日18:00,完,富川KEB女篮,141,牙山友利女篮,67
蒙古MBL,02月08日18:10,完,兄弟BC,158,额尔登特矿工,81
罗篮乙,02月08日18:30,完,ASE布加勒斯特,142,CSU布库雷斯蒂,67
奧女资格,02月08日19:00,完,中国女篮,141,新西兰女篮,75
土篮乙,02月08日19:00,完,波尔诺瓦,158,亚罗威,82
罗女乙,02月08日19:00,完,迪米苏拿女篮,155,普利塔力卡女篮,69
伊朗甲,02月08日20:30,完,库钦阿莫尔B队,146,戈尔诺尔.伊斯法罕,69
蒙古MBL,02月08日20:40,完,卡辛库勒古德,156,BCH加里德,67
土篮乙,02月08日21:00,完,科勒基尔,172,加济安泰普,85
芬篮乙1A,02月08日21:00,完,于韦斯屈莱学院,155,HBA马斯基,75
哈萨克联,02月08日22:00,完,卡斯比阿克套,182,帕夫洛达尔,88
黎巴联,02月08日22:45,完,尚普维尔,161,NSA,78
土篮乙,02月08日23:00,完,高卡尔利,205,切伊罗瓦,79
摩篮联,02月08日23:00,完,拉巴特体育联,143,埃洛阿西亚BB,75
奧女资格,02月08日23:30,完,西班牙女篮,161,日本女篮,82
罗篮甲季后,02月08日23:45,完,阿格斯,157,布加勒斯特迪那摩,71
女欧锦预,02月08日23:59,完,以色列女篮,144,爱尔兰女篮,83
立陶甲,02月08日23:59,完,卡维纳斯,121,维尼亚斯斯特卡斯,60
立陶甲,02月08日23:59,完,克雷廷加,163,克莱佩达的海王星,96
立陶甲,02月08日23:59,完,萨拉基利斯B队,181,维提斯,89
立陶甲,02月08日23:59,完,泰尔希艾,180,尤尔巴科,83
立陶甲,02月08日23:59,完,维尔卡维斯基斯明珠,133,帕兰加库尔希艾,72
罗女篮,02月08日23:59,完,MT梅利斯女篮,121,塔高维斯塔女篮,68
土篮乙,02月09日00:30,完,巴勒克西尔,126,伊斯坦布尔技术大学,70
NBA-G,02月09日00:30,完,首都前进,243,里奥格兰德河谷毒蛇,115
芬兰杯,02月09日00:30,完,沙龙维尔帕斯,154,BC诺基亚,75
克罗甲,02月09日00:30,完,萨波克,170,斯普里特,87
爱沙甲,02月09日00:45,完,奥登特斯体育,153,岩塔尔图,74
NBA-G,02月09日01:00,完,风城公牛队,242,莱克兰魔术,137
立陶甲,02月09日01:00,完,珍珠湖维尔纽斯,181,德利卡得萨,87
摩篮联,02月09日01:00,完,MTB马吉德,167,拉巴特体育,63
阿尔女篮,02月09日01:00,完,科西德女篮,106,HD海军陆战队女篮,58
黎巴女联,02月09日01:00,完,冠军女篮,74,塔塔多女篮,35
奧女资格,02月09日01:15,完,塞内加尔女篮,137,尼日利亚女篮,83
Euro,02月09日01:30,完,阿纳多卢艾菲斯,196,TA马卡比,101
以篮超,02月09日01:30,完,内斯兹奥纳,176,比内海尔兹利亚,88
芬篮乙1B,02月09日01:30,完,皮伦托B队,158,帕朱拉蒂,76
黎巴女联,02月09日01:30,完,阿尔穆泰莱布女篮,135,灵觉女篮,77
奧女资格,02月09日02:00,完,匈牙利女篮,122,加拿大女篮,71
摩篮联,02月09日02:00,完,AS沙利,151,MAS费兹,62
LNB U21,02月09日02:00,完,巴黎U21,124,圣昆汀U21,61
BIBL,02月09日03:15,完,比殊迪拿,157,AEL普罗蒂斯,78
冰岛甲,02月09日03:15,完,华路亚,154,候卡尔,68
冰岛甲,02月09日03:15,完,托尔,176,格林达维克,83
冰岛甲,02月09日03:15,完,哈马尔,171,阿佛坦斯,91
Euro,02月09日03:30,完,游击队,157,拜仁慕尼黑,86
Euro,02月09日03:30,完,华伦西亚,143,奥林匹亚科斯,79
Euro,02月09日03:30,完,沙萨基,174,里昂,91
Euro,02月09日03:30,完,米兰阿玛尼,157,皇家马德里,77
瑞士NLB,02月09日03:30,完,日内瓦狮子U23,175,韦维里维埃拉U23,88
黎巴女联,02月09日03:30,完,NSA女篮,94,黎巴霍普斯女篮,36
英篮超,02月09日03:45,完,伦敦雄狮,157,谢菲尔德鲨鱼,88
奧女资格,02月09日03:45,完,美国女篮,160,比利时女篮,77
奧女资格,02月09日04:00,完,德国女篮,139,塞尔维亚女篮,57
葡U21冠,02月09日05:15,完,格达姆U21,103,奥迪维拉斯U21,50
